text;label
 binus! binus ada tutoring buat calculus/discrete math gak yaa?? butuh bgt;0
 binus! emang boleh selucu itu justin ;2
 binus! b25 ada yang mau mutualan di linkedIn gak??;1
 Binus! Adakah yg dateng ke gbk tp gak nonton?;1
" struggle! curhat nih, gw heran sih jujur, mending kalo mau spill""an pelaku KS atau dosen bermasalah mah kalo uda ada bukti konkrit, kayak chat sama ybs, pesan suara etc daripada cuma nyebut inisial. kayak kemaren ada ""inisial E"" katanya. E tuh banyak ya, ga cuma 1 orang. E siapa jir? Edogawa Ranpo? Edward Cullen? heran. takut apa, gw yakin bakal banyak yang backup & dukung sendernya kalo emang ada bukti konkrit & valid kok. tapi orang pada 'inisial ini' 'dosen ini' tuh ga kredibel sumpah";0
 Binus! ada yang jual tiket smtown underprice (banget) gak pls banget inimah kita langsung transaksi aku kmg btw;1
 binus! mau nanya buat yg enrichment internship kalo udah choose track tuh masih bisa update profile ga ya? atau kalo udah pilih track ga bisa update/revisi profile lagi?;1
 binus! prerequisite beelingua bisa diulang ga ya ;1
 kalo kita mau bikin merch binus! gitu butuh izin nggak sih?? rencananya mau bikin tas serut sama lanyard buat tugas matkul Introduction to Entrepreneurship and Business hehe;2
 guys, apotek terdekat dari binus! kmg dimana yaa?;1
 binus!an kelanjuta tiket sm town apa kabarr?;1
 binus! AKU STRESSS BANGETTT FAAKKKWWHHH, SALAH MULUUUUU ;0
 binus! yg enrichment magang pada nambahin skill juga ngga? ;1
 parkir di pinggir jalan binus! alsut atau sebrangnya itu (deretan moas yang deket kampus) aman ga sih?;1
 binus! Bused itu markir apa pacaran ama trotoar bang...mojok amat... ;0
 Binus! Ada yang nonton LHAB HINDIA gak yaaa tanggal 30???;1
 binus! LUASIN LAHAN PARKIR ALSUT PLEASE;0
 cmon guys jangan jorok binus! ;0
" binus! tagihan beelingua tu nanti tunggu muncul di blu jadi autodebet apa gmn ya :( bingung bgt pgn cpt"" ngerjain ulang";0
 binus! CV bebas kan mau pake bahasa indo atau english?;1
 binus! score ibt 88, score buept 570 di beelingua masuknya grade apa ya??;1
 binus! wtb niki plsss buat yg gjd dtgg;1
 di binus! ada gak ya beasiswa yang bisa diapply tiap semester ?;1
 binus! rekomen earphone wirless dong;1
 binus! gimana biar move on? ;0
 binus! kakak mau tanya, wlpn kita ada saldo di rek tp blm tentu lngsng ke auto debit sm binus ya? kira brp lama sih baru ke tarik saldonya sm binus?;1
 binus! bncc masi buka gasiii;1
 binus! help guys ;0
 Binus! tteokbokki lawson syahdan tu ngenyangin/worth it ga? Thanks;1
 binus! binmay web ngedown ya?;1
 binus! Cara beli almamater baru dimana ya? ilang soalnya ;1
 binus! semangat yang kelas sabtu;2
 binus!an ada yang nonton sm town gak? cat 2 nihh aku ada 1 tiket free, mama aku gak jadi pergi kita nobar;2
 binus! permisii ada kaka yg bs aku tanyain ttg enrichment study abroad ngga ya? aku pngen tanya soal itu hehe;1
 binus! PLS AAHD PANIK KUADRAT.. beelingua.. someone hwlp apabila ada yg bisa;0
 BINUS! Ada yang punya jawaban beeling c gak, mau mastiin jawaban doang ;1
 binus! ini posisinya dosen baru selesai bgt dan masih beres2, jamnya pun blm sampe .20 nunggu bentar gaa susah sihh..;0
 B25 binus! kalian enrichment bagian portofolio diisi apa? github kah? atau apa?;1
 binus! Anak psikologi boleh kasih tau pelajaran yg ga disukai/least favorite?;0
 binus! buat ciwi ciwi recommend cushion kalian dong ;1
 Rekomen menu bbq mountain burger dong para binus!ians ;1
 binus! Karena gue udah b25 dan crush b25 gue mau confess disini dah TOLONG A B25 COMPSCI KEMANGGISAN GUE SUKA SAMA LO NOTIS GUE PLIS;2
 apakah ada binus!an yg ke gbk nonton smtown hr ini??;1
 Binus! Life rocked me like Mtley, grabbed me by the ribbons in my hair :3;2
 binus!ian 27 atau semua, mutualan yuk. khususnya yg malanggg;2
 tolong binus!an alsut ini gimana ceritanya coba?? udah gua lapor semoga lu di tangkep, btw ini di gedung a lante 7 kamar mandi cowo. bego boleh tapi tolong begonya di takar ;0
 binus! buat yg enrichment kalo  di bagian link portfolio boleh isi link gdrive tp masih kosong gasih? cv nya nyusul (belom kelar soalnya, tp bakal upload cv sebelum regis enrichment tutup sih);1
 SELAMAT PAGI BINUS!AN SEMANGAT BUAT YG KELAS HARI SABTU;2
 Binus! (Opini Pribadi) Buat yg cape ngurus crush cres krus gw rasa kalian mending nyoba masuk ke lingkaran crushless deh sumpa, seru kok bisa fokus buat improve ke diri sendiri tanpa adanya distraction, trust me deh klo semisalnya udh fokus ke diri sendiri urusan jodoh bakal ngekor sendiri kok ;0
 struggle! cara claim e-book di binusmaya gimana ya? di syllabus cuma ada judul e-booknya aja, gabisa download/claim;0
 Ada info entrepreneurship competition atau BCC ga ya ? Bole dari dalem atau luar binus!. Terima kasih ;1
 binus! first time ke kijang lucu bangettt kayak gedung tk apalagi kalo di dekor warna warni;2
 binus! hello yang jomblo ada yg mau cri pcr buat support system ga?  butuh penyemangat bgt ni f24 SI;2
 binus! halo kakak-kakak binusian, aku calon b28 nih hehe  aku mau tanya, kira-kira ada organisasi apa aja ya yang nanti aku bisa ikut? tia!;2
 binus! capek, hidup gaada bahagia2nya;0
 Binus! gabisa tidur. kangen sleepcallan sama ;0
 struggle! Bisa ga si dl submit porto dsb di web enrichment dipanjangin  3 hari begadang masih aja belom kelar  mau marrraaaaaah;0
 binus! halo mau tanya, buat daftar enrichment ada yang gak bisa? aku udah update profile tapi gak bisa pilih track, tulisannya yg muncul according regulation from university, your enrichment registration date term not ready yet. apakah ada yang gak bisa juga? error atau bagaimana ya? makasihh ya;0
 binus! creative space itu cuma dibuka kalau ada kegiatan ukm ya? cara pinjam pribadi gimana?;1
 siapa yang mau study date di lkc binus! Bekasi?;2
 Binus! Buat sunibian yang mau magang mau aku review ga cvnya kebetulan aku b23 udh kerja dan dulu intern di big company mana tau bisa bantu ehehhe lg gabut BTW TERBATAS dan YG BNR BNR BUTUH  aku bakal review 20 orang aja nanti replay aja aku dm;2
 binus! guys mac kalian ada yang pernah ketumbahan air ga ya? kalo di bawa ke iboxbiasanya servicenya berapa ya?;1
 binus! ada yang bisa tutor boxing ndak;1
 binus! gua into you b25 J binus bdg CS;1
 gua into you binus! b25 J binus bdg CS;1
 binus! serius tanya, ke kampus boleh pake kaya gini ga sih? thankyou ;1
 binus! real atau fake? ;1
 struggle! harga yang harus dibayar dari sebuah kebebasan adalah rasa kesepian. ;0
 binus! sender b25 udah waktunya daftar buat enrichment, jujur sebenernya pengen banget ikut magang tapi sender malu soalnya sender usia nya jauh lebih tua dibanding temen2 kampus (+3) dan malu juga pas di interview ditanya kenapa ada gap yang lumayan sebelum kuliah :((;0
 Bengkel space semalem rame anak binus! ya, pengen ngajak kenalan cewe disitu tapi malu (Kayaknya B27 jarang liat soalnya);2
 binus! sender baru dua kali ketemu sama pacar sender pdhl kita udh 3 bulan kenal  wdyt;2
 binus! Perkait pelaku pelecehan B27 inisial E, ternyata bukan saya saja korbannya wkwk. Hati-hati ya girls, pelaku suka ngajakin ke rumah tiba tiba walaupun ga dekat :);0
 binus! gue bosen sama cowok gue kita udh ga ketemu 1 bulan padahal rumah kita cuman jarak 8 km doang;0
 Binus! Apa hanya aku yang ngerasa ga betah dan ogah ke lkc karna staff nya ganyaman?  if you feel that way I definitely know your region campus;0
 P.A. for binus!-ians. Saat ini aku juga lagi ngalamin sakit tenggorokan + batuk parah. Awalnya gw kira kena covid karena gejala awalnya itu sakit di tenggorokan kayak ada yang ngeganjel. Tapi setelah baca postingan di bfess juga dimana sendernya kena infeksi saluran pernapasan dengan gejala yang sangat mirip, gw conclude gw juga kena virus yang similar. Penyebabnya apa? Polusi. Yes, ISPA ini udah gak main-main karena dari 35 anak di kelas, 3 diantaranya termasuk gw batuk-batuk ga berhenti selama di kelas. Sampai pemerintah nemuin solusi buat polusi, ini adalah beberapa saran yang gw bisa kasih. 1. Masker, kalo jalan kaki di kemanggisan/naik motor selalu pake masker, kalo bisa double 2. Siapin obat flu, batuk, tolak angin dll. Karena takutnya sakit gini salah satu gejalanya demam. 3. Buat yang ngekos, pasang air purifier 4. Banyakin minum air, minimal 1.5L. Stay safe and stay healthy guys;0
 cara konsul di binus! gimana ya? konsul soal mental health bisa ga?;1
 binus! yang kost di deket anggrek, yuk sapa-sapaan yuk.. kenapa selama ini pada buang muka semua kalo mau kenalan bahkan sama kamar sebelah:(;0
 binus! Barber bagus dekat kmg?;1
 binus! yg penah re-subs beelingua tolong rep dong mau tanya nih;1
 Binus! Tips ngilangin overthinking yang ampuh please bgt;0
 ini maksudnya berarti baru bisa dikerjain tanggal 1 oct kah ? binus! ;1
 binus! jadi aslab itu digaji ga yaa? spill buat anak psikologi dongg, jurusan lain jg gas;1
 binus! Haloo akuu b25 baru bikin college acc. Ada yang mau mutualann? Terutama sesama sports enthu (F1, tenis, badminton ) tapi selain itu juga boleh kokk!! Reply ajaa nanti aku follow~;2
 binus! ada yg mau dbantu beelingua ga? aku bersedia ;2
 kalian udah pada bahagia belum? binus!;2
 binus! plis bikin anon gitu dong buat chat sesama anak binus gua bosan bgt bjir;0
 Binus! Beserta alasannya dong kakak2;1
 Binus! Info barber yang bagus di sekitar kemanggisan dong... sender udah potram tiga kali berturut2 di sekitar sini tapi hasilnya jelek terus ;0
 binus! Virtual Blind Date bisa kali @.itbfess;2
" binus! sender pernah disamperin cwe histeris di wc, dia nanya OB dimana trus aku kan maba  jadi gatau, trus pas aku tanya apa dia blg itu ada wc yang ada pupnya trus ga disiram.. trus aku lgsg reflek ""yaudah flush aja?"" trus dia lgsg flush trus keluar, so far itu kejadian paling absurd di sunib sih";0
 binus! Sorry ini rebutan Boti?;0
 binus! daftar enrichment tuh ada batas tanggalnya ga ya guy?;1
 Binus! Kira2 kalau ada budget 50-70jt asiknya ngundang artis siapa ya buat acara pensi gitu?;1
 binus! catetan matkul kalian lengkap ga si dari semester 1, jujur sender kl pas di kelas lebih fokus merhatiin materi yg dijelasin dosen daripada nyatet. karena kadang kl sambil nyatet, ketinggalan krn dosennya ngomong cpt;1
 binus! kantin di anggrek self service letakin piring2 gitu ga ya?;1
 binus! gue selalu blg ke pacar gue, kalo tbtb di tengah jalan dia suka sm orang lain, mending langsung jujur dan bilang ke gue drpd harus diem diem selingkuh. abis itu baru diobrolin baik solusinya kaya gimana, kalo emang harus pisah ya pisah, kalo bisa dipertahanin ya brrti bertahan aja. wdyt?;1
 binus! ada opreg panit rektor cup gasih? mau dong info nya;1
 binus! prerequisite beelingua bisa diulang gasi ;1
 Binus! Yang bol mau semester 6 pada enrichment apanih?;1
 Ada yang punya info Binus! Rector Cup kapan jalannya tahun ini?;1
 ke SASC binus! buat curhat karna gak dapat tiket SM TOWN bisa gak ya? Frustasi brat;0
" Binus! Yang jadi aslabb boleh aku dm mau nanya2 seberapa sibuk jadwalnyaa :""";1
 binus! Meanwhile anak CS: ;1
 binus! 500k seminggu buat anak kos itu masuknya kurang ap cukup sih? jgn salty ya krn kalo abis segitu itu aku gatau masuknya boros apa ngga;1
 binus! klo test gambar buat masuk dkv new media hrs bagus2 ga ya soalnya ga pernah gambar promptnya (place setting) ,,, duenya besok baru di beritahu hr ini huhu;0
 Wtb smtown cat 5 yang row sama sn dibawah 10 doong binus!;1
 binus! Even when universe doesn't let us to be together, between seas, galaxies, and moons at least I still feel lucky I stepped on the same land and dreamed under the same stars as you.;2
  binus! tebak-tebakan deh yg kelar duluan semester 1 apa saya  apa... apa maksud anda saya nggak bisa jadi suami Yuuta Okkotsu.. TIDAK MUNGKIN.. YUUTA OKKOTSU........... semuanya istighfar... astagfirullah... YUUTA OKKOTSU  menikah;2
 binus! mahasiswa BOL itu uas sama uts nya online atau bagaimana ya?;1
 binus! guys kalian lagi pada sakit ga sih, kaya pilek gitu atau sakit tenggorokan?;1
 binus! kindly reminder buat b27 (krn tadi kebetulan b27 sih) ataupun akt lainnya, kalo misal kalian kelas trus kelas sebelumnya blm keluar semua apalagi masih ada dosennya, tunggu dulu pliss kyk ga etis aja dan crowded bgt jadinya tabrakan antara mau keluar trus kalian masuk..;0
 struggle! adakah yang bisa ngasi tau dimana bisa nyari tutor (online) matkul business math  nangis bgt aku  anyway aku anak BOL thanks b4;1
 Mutualan Linked yukkk!! khususnya b25 yg bentar lagi magang nih. Drop link kalian dibawah dan mari kita saling follow  Binus!;2
 binus! kalo kelas nya jadi online itu bakal ada zoom ga sih apa gslc ajaa?;1
 ada yang tau ga besok dresscode welcoming party modelling club binus! pake baju apa?;1
 binus! ada yg mau teaming up buat ikut lomba-lomba economy/business related. belum nemu lomba nya sih, nyari bareng sekalian belajar bareng. prefer yg region alsut yaa!;2
 binus! an alsut, ada yang tau tempat les melukis sekitar alsut gaa?;1
 binus! an alsut, ada yang tau tempat les melukis sekitar alsut gaa?;1
 binus! an alsut, ada yang tau tempat les melukis sekitar alsut gaa?;1
 Binus! Haii disini ada yg finance b25 kah, aku b26 mau mutualan please  thank you;2
 binus! ini aslab gue apa gantengnya gabisa dikurangin dikit ya;2
 binus! help sender diship sama temen sekelas;1
 Binus! Anak compsci, boleh spill dong matkul yang paling kalian benci wkwk;0
 binus! B25 sistem informasi kira2 kalian enrichmentnya mau apa?;1
 binus! anak teknik sipil binus b26, tolong dong di kelas gabungan selanjutnya jangan terlalu rusuh dan hargai anak jurusan lain ;0
 Binus! Kalian INC ada yg gak persiapan?;1
 binus! Sender udh semester 5, mau ikut organisasi di kampus kan udh gabisa, jdi mau ikut organisasi atau volunteer gitu diluar gimana ya? Buat nambah2 pengalaman. Searchnya gimana ya? Thank you;1
 binus! spill dong cowo gntng anak CS B26 donggg alsuttt;2
 binus! do u think u could give someone who cheated on u a second chance and why?;0
 Binus! Emg boleh ngoding sambil nyetel dj tiktok viral di warkop gini ? ;1
 binus! TIPS UNCRUSH TEMEN SEKELAS ANJIR BANTUIN W GK SANGGUP COOOK;0
 Struggle!!! Aku mau nnya, cara bayar beelingua itu pke nomer bayar gitu kan?? Itu nomernya yg mana woyyy, pleasee tutorrr;0
" binus! pengen punya cowo seagama :( tp gabisa mutusin yang udah ada gt aja :"")";0
 Jd pas sblm2 fyp tuh gw tmnan ama 1 cowo B25, kenal krn ml. Awal2nya tuh b aja, share kontak. Tp kek..... Ini slh gw juga si, jokes gw tuh mayan dark and sometimes ngarah ke...situ. Nah dia tuh bahas gituan. Gw kek oh yaudah gt, krn gw terbiasa tmn2 cowo gw juga bahas cewe dkk jd normal aja. Tp kek hbs bbrp hr dia nanya mw VC ga? gitu. Gw ksh tau dia kan kl gw ga suka ph (ytta). Bbrp hr kemudian tuh fyp gw. Dia tau gw lg dikls. Dia kirim foto yg one time itu. Gw sus jd gw turunin brightness ampe gelep, pas gw buka tuh isinya kek scene dr ph. Sumpah gw gtw gmn. Gw udh block dkk. Cuma kek.... Serem aja. Ada ga si cara biar dia kena kek surat SP gt... Ato sejenisnya. Bantu dong binus! Gw gmw ada yg kena korban ama dia lg ;0
 binus! kalo beelingua ngambil b ing dan b jepang itu berarti tiap bulan ganjil harus ngerjain course mastery dua duanya apa salah satu aja?;1
 Binus! Rate kesulitan matkul entre market validation!;1
 binus! tutor move on woi bantuin gece;0
 Binus! Post break up phase while entering college life is sucks :( please tell me that everything will be okay;0
 binus! ada yg mau ngekos brg? reg kmg// cowo;1
 binus! smt 2 kelasnya bisa acak lg gak sih? gak cocok sama temen skrg ;0
 BINUS! mau pamer aja tadi aku duduk sebelahan sama crush waktu kelas TAPI DIA FRIENDLY ABIES HUHUHUHU ;2
 binus!an 26 dapet jatah buat kelas online gak sih? kalo iya per matkul brp kali yaa?;1
 binus! kalo kelewat jadwal autodebet textbook fee gimana ya?;0
 binus! bang abang ganteng kalo ngomongin org minimal jangan gede gede lah dikira ga kedengeran apa;0
 Binus! Knp anak CS cakep semua;2
 binus! ada yg ngikut BNCC re regist nya hari ini? ini emang belum mulai apa gimana guys.. udah 15 menit dari jam yg ditentuin belum di let in wkwk agak panik sendiri jujur ;0
 Binus! Bisa beli almamater lagi gk ya? Punya sender ilang soalnya;0
 Binus! gess, track studi independent tuh lebih susah dari magang nggak ya dapetinnya? sender tertarik, tapi agak takut T_T;0
 binus! buat anak b25 yang sms 4 kemaren kelas researchnya di LS01 rambut cepol, lo lucu bgt tau! sayang ga sekelas lg;2
 Binus! Butuh pacar aslab;1
 Binus! Gabut bgt pengen ngechat;1
 Binus! Itu anak CS nya malang inisial  Y  B25 ( cowo ) tolongg.. GUWEH SUKA LO ANJIRRRRR, GA BISA SESEKALI APA NOTICE GUA ? TIAP KETEMU GUA LIATIN MULUUUU, MAU CAPER TAPI NTR CRINGE :);2
 Yang di binus! Square minta inspo kamar dong kamarku kosong bgt ;1
 binus! lets be friends &lt.3!! free pass if you enjoy lamp, ichiko aoba, wave to earth, jannabi, and beabadobee ;2
 Binus! Hati-hati buat yang suka kirim menfess di twitter karna kalo nanti korbannya merasa bisa di tracking lewat SASC binus soalnya udh pernah kejadian. Apalagi kalo yg buktinya belom jelas;1
 Binus! Mencari partner gym yang mau nemenin dari 0 and rutin pastinya plus gratis,lngsng dm aja ya,btw w cewe ;2
 binus! cara liat tagihan binus yang blu itu gimana yaa;1
 binus! siapa yg nonton smtown bsk??;1
 Binus! Sender ngantukan orang nya, ada saran ga ya, caranya biar bisa time manage, Tia&lt.3;2
 binus! p tutor pdkt;1
 Struggle! Ada yg tau psikolog yg bagus di Jakarta? Yg pas consul nya enjoy gitu? Butuh yg ots ya bukan yg online kek di halod*c atau alodokt*r. TIA!!;2
 binus! haloo! aku mau minta tolong buatt yang kenal sama jonardi yang tadi siang nemuin dompet didepan indomaret alsut, AKU MAU UCAPIN MAKASIH BANYAK YAA DOMPETNYA UDAH BALIK KE AKUU GOD BLESS U ( `)b;2
 binus! yang ikut konser niki day 2 rep dong;1
 Binus! emang boleh cewek stamanara secantik itu?;2
 Guys maaf nanya ini bayarnya dimana ya? Makasih binus! ;1
 cowo initial AGB binus! tv, i know we never talk to each other before but, please kasih tau type lu kayak gimana, gue ingin memantaskan diri ;2
 binus! tips move on?;1
 Binus! New couple unlocked on alsut;1
 binus! maaf di up lagi ada yg bisa bantu jawab sender takut salah pilih background foto :);1
 binus! sedang menjadi bystander dalam kisah cinta segitiga antara 2 sahabat ku dan 1 wanita...memang wanita racun dunia;0
 Binus! Helpp kalo ada yg nemuin KTM / flazz di sekitaran parkir motor binus alsut kabarin dong, atau kalo misal KTM hilang itu ngurusnya gimana ya?;0
 binus! nanti pas semester skripsi walaupun 4 tahun sampai 8 semester itu boleh ambil yang non class gasih? karena males banget kalo ke kampus2 lagi ngurus skripsi doang;0
 Struggle! Gw baru belajar UNLOVE seseorang. Susah . Kangen pingin chat, perut spt penuh kupu2 &amp. hati ini sakit bgt. Nanti kalo ketemu orangnya jg hrs tetep ramah biar elegant jd cewe.;0
 Binusian ada yang masih cari tiket coldplay gaa? Gue mau wts 1 tix di cat 4 karna gajadi nonton, bisa cod di Binus! Kemanggisan;2
 binus! mahasiswa binus region lain bisa masuk ke binus ragion lain juga gaa?;1
 binus! pendidikan udah mahasiswa tapi kebiasaan masih kaya orang kampungan, malu bos;0
 Binus! Ada lawan taptapdash(?) ;1
 binus! ada yang tau lanjutan dari orang orang kasus alkohol?;0
 Binus! Info orang dalem buat sponsorin acara;1
 binus! cara autodebet gimana sih?transfer aja kah ke blunya lalu nnti otomatis ke autodebet atau gmn? tia;1
 Binus! CRUSH GUE GANTENG BGT AAAA MANA LUCU BGT LAGI MOENGIL APA GA TAKUT DIINJEK;2
 binus! gw ga soljum gara gara bablas ketiduran woy  haram ga si hukumnya;0
 plis jawab sender. kantin binus! alsut tutup jam brp yah? makasii;1
 Binus! Tolong banget ya self awareness dan etika nya tuh di pake. Perhatiin cara lu memberlakukan org2 lain disekitar lu. Jangan malah harus di jauhin dulu baru nyadar salah lu apa, apalagi udah di jauhin sana sini malah ga nyadar2;0
 Binus! Udh tau blm si ada yg fr3ncH k!ss di kampus?? Tolol bgt;0
 binus! kalau mau tanya2 ttg uang buku gituu kemana yaa? ssc kah?;1
 binus! wdyt sm dosen yg ngasi tugas tiap pertemuan, kl lg ngajar gapernah jelasin yg jelas ???;0
 binus! aku mau tanya, beelingua itu harus selesai semua course atau cuma 1 unit doang (selesai sampe di course masterynya) aja? biar lifepointsnya ga berkurang;1
 ortu kalian pada pake binus! mobile for parents ga??;1
 binus! ada yg semester 6 mau ambil jalur entre? ikut dongg gads tmn ;2
 Binus! Ada yang suka sama sender, dia baik, tipe yang bakal treat you like a queen, bukannya kepedean tapiiii dia suka diem moto sender, wdyt;2
 Binus! Ada yg suka makan jasuke pedes (pake saos sambel) gak sih? Ini gw yang sensi ap gmn, beli jasuke pedes diketawain gitu berasa dijudge sama yang punya  Padahal ada di menunya wkwkwk;0
 binus! bisa bisa nya sender nge crushin orang tapi gatau apa2 soal dia, padahal sekelas  IG NYA APA SIH MASSS KOK SUSAH BANGET DI CARINYA;2
 binus! non-boarder boleh ga sih nugas di tempat nugas ituu, aku diajak temen;1
 to the binus! alsut girl that wore a chelsea shirt with mount on the back, ur cute;2
 anggota aiesec binus! itu kebanyakan dari jurusan apasih kok sering ketemuan di kampus?;1
 binus! ke beehub lewat mana ya?;1
 Binus! Sp tahun depan bakal online juga apa onsite?;1
 binus! depression naps hit different fr;0
 binus! Kalau uas sp 0 otomatis harus sp lagi ya?;1
 anak binus!24 inisial R gemess bgtt c. dh punya pcr lomm ;2
 binus! infokan kakak yg sebelah kanan dongg;2
 binus! cewe yg ga sampe 160cm termasuk pendek atau normal ya?;1
 binus! mau tanyaa dong kalau gagal ngerjain CM kan hrs bayar 100k itu, tp sampai skrg aku blm di email nomor VA sm binusnya sementara sisa waktu tinggal 8 hari lagi. kalau begitu misal sampai akhir bulan blm di email sm binus nya nanti cmn kepotong 1 lifepoint aja kan ya? jadi masih bisa ngerjain lagi di bulan depan dengan sisa 1 lifepoint begituu?;0
 binus! buat mbak alsut yang pake mobil crv putih ayolah notis aku yang sudah beberapa kali ini nempelin note di kaca mobil mu sebelum aku tantrum acak acak kantin pls pls pls pls;2
 binus! guys ada yg tau ga cara liat rekapan nilai di bimay web yg design baru, gw bingung. Makasih before;2
